year,count,count-exdocs,popularity,rating,rating-pop-weighted
1826,0,0,0.000000,0.000000,0.000000
1827,0,0,0.000000,0.000000,0.000000
1828,0,0,0.000000,0.000000,0.000000
1829,0,0,0.000000,0.000000,0.000000
1830,0,0,0.000000,0.000000,0.000000
1831,0,0,0.000000,0.000000,0.000000
1832,0,0,0.000000,0.000000,0.000000
1833,0,0,0.000000,0.000000,0.000000
1834,0,0,0.000000,0.000000,0.000000
1835,0,0,0.000000,0.000000,0.000000
1836,0,0,0.000000,0.000000,0.000000
1837,0,0,0.000000,0.000000,0.000000
1838,0,0,0.000000,0.000000,0.000000
1839,0,0,0.000000,0.000000,0.000000
1840,0,0,0.000000,0.000000,0.000000
1841,0,0,0.000000,0.000000,0.000000
1842,0,0,0.000000,0.000000,0.000000
1843,0,0,0.000000,0.000000,0.000000
1844,0,0,0.000000,0.000000,0.000000
1845,0,0,0.000000,0.000000,0.000000
1846,0,0,0.000000,0.000000,0.000000
1847,0,0,0.000000,0.000000,0.000000
1848,0,0,0.000000,0.000000,0.000000
1849,0,0,0.000000,0.000000,0.000000
1850,0,0,0.000000,0.000000,0.000000
1851,0,0,0.000000,0.000000,0.000000
1852,0,0,0.000000,0.000000,0.000000
1853,0,0,0.000000,0.000000,0.000000
1854,0,0,0.000000,0.000000,0.000000
1855,0,0,0.000000,0.000000,0.000000
1856,0,0,0.000000,0.000000,0.000000
1857,0,0,0.000000,0.000000,0.000000
1858,0,0,0.000000,0.000000,0.000000
1859,0,0,0.000000,0.000000,0.000000
1860,0,0,0.000000,0.000000,0.000000
1861,0,0,0.000000,0.000000,0.000000
1862,0,0,0.000000,0.000000,0.000000
1863,0,0,0.000000,0.000000,0.000000
1864,0,0,0.000000,0.000000,0.000000
1865,0,0,0.000000,0.000000,0.000000
1866,0,0,0.000000,0.000000,0.000000
1867,0,0,0.000000,0.000000,0.000000
1868,0,0,0.000000,0.000000,0.000000
1869,0,0,0.000000,0.000000,0.000000
1870,0,0,0.000000,0.000000,0.000000
1871,0,0,0.000000,0.000000,0.000000
1872,0,0,0.000000,0.000000,0.000000
1873,0,0,0.000000,0.000000,0.000000
1874,1,0,3.400000,3.400000,478.233887
1875,0,0,0.000000,0.000000,0.000000
1876,0,0,0.000000,0.000000,0.000000
1877,0,0,0.000000,0.000000,0.000000
1878,27,26,2.959630,3.305636,1709.315789
1879,0,0,0.000000,0.000000,0.000000
1880,0,0,0.000000,0.000000,0.000000
1881,0,0,0.000000,0.000000,0.000000
1882,3,0,3.353333,3.507585,729.865562
1883,0,0,0.000000,0.000000,0.000000
1884,0,0,0.000000,0.000000,0.000000
1885,1,1,2.910000,2.910000,140.642258
1886,0,0,0.000000,0.000000,0.000000
1887,1,0,2.730000,2.730000,205.510010
1888,5,0,3.036000,3.232066,1080.502280
1889,2,0,2.610000,2.601017,94.106548
1890,7,1,2.722857,2.736160,200.226874
1891,7,0,2.670000,2.615957,195.046116
1892,5,3,2.758000,2.671773,390.707966
1893,2,0,2.540000,2.648149,53.083512
1894,36,8,2.913333,3.080074,1296.087769
1895,30,7,2.954000,3.244523,724.917445
1896,156,46,3.029808,3.362563,3257.916092
1897,79,32,3.106076,3.149076,2114.186352
1898,49,32,3.167959,3.510908,1485.751622
1899,45,30,3.111333,3.185740,607.866190
1900,71,50,3.142817,3.186118,1344.975489
1901,46,36,3.130435,3.294417,797.952582
1902,29,23,3.205862,3.871336,3753.668849
1903,57,48,3.192456,3.281411,3075.327076
1904,34,29,3.147059,3.189703,361.336157
1905,48,35,3.211667,3.271084,620.124808
1906,38,30,3.275526,3.467296,1765.575447
1907,48,46,3.281875,3.315841,1359.107569
1908,40,39,3.216750,3.243339,1016.317228
