1826,0
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,0
1862,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,1
1875,0
1876,0
1877,0
1878,27
1879,0
1880,0
1881,0
1882,3
1883,0
1884,0
1885,1
1886,0
1887,1
1888,5
1889,2
1890,7
1891,7
1892,5
1893,2
1894,36
1895,30
1896,156
1897,79
1898,49
1899,45
1900,71
1901,46
1902,29
1903,57
1904,34
1905,48
1906,38
1907,48
1908,40
1909,40
1910,26
1911,36
1912,45
1913,43
1914,61
1915,42
1916,53
1917,40
1918,45
1919,56
1920,43
1921,70
1922,62
1923,43
1924,60
1925,74
1926,81
1927,87
1928,128
1929,150
1930,143
1931,194
1932,238
1933,232
1934,237
1935,231
1936,243
1937,241
1938,214
1939,214
1940,227
1941,233
1942,256
1943,233
1944,224
1945,205
1946,236
1947,258
1948,268
1949,305
1950,283
1951,300
1952,291
1953,304
1954,310
1955,341
1956,326
1957,352
1958,374
1959,354
1960,332
1961,355
1962,380
1963,398
1964,455
1965,467
1966,539
1967,529
1968,590
1969,552
1970,552
1971,597
1972,632
1973,613
1974,607
1975,590
1976,602
1977,613
1978,556
1979,638
1980,616
1981,623
1982,655
1983,692
1984,663
1985,700
1986,752
1987,833
1988,831
1989,830
1990,759
1991,758
1992,769
1993,791
1994,827
1995,865
1996,862
1997,909
1998,984
1999,1020
2000,1098
2001,1162
2002,1196
2003,1308
2004,1420
2005,1517
2006,1657
2007,1776
2008,1835
2009,2011
2010,2058
2011,2211
2012,2512
2013,2672
2014,2979
2015,3108
2016,3475
2017,3917
2018,4022
2019,4382
2020,3775
2021,4106
2022,4699
2023,4811
2024,4408
2025,1441
